vertical,name,phone,E-post,address,city,lat,lng,Antal hantverkare,service,rating,info,Specialisering,geocode_status,geocode_note
Spol,111:ans Avloppsspolning & filmning i östergötland AB,,,GERSTORP Grindstugan 1 585 99 ,Linköping,,,,1,,,,,
VVS,3Des Rörläggeri AB,+46704190894,info@3dsror.se,Munkegärdegatan 107 442 41 Kungälv,Kungälv,57.88632534327376,11.965629211062597,3.0,Båda,1.0,Raman +46704190894 Göteborg med Omnejd Jour & Planerat,IPIS Konsument VVS,,
Snickareonline,AB Perfekt Bygg och Måleri,+46706168158,,1,,"59,317399","18,063439",1.0,1,1.0,1,1,OK,"Swedenborgsgatan 1, 118 48 Stockholm, Sweden"
VVS,Aberga VVS & Svets AB,+46730986932,carstinge@abergavvssvets.se,Aberga Byväg 11 725 95 Västerås,Västerås,59.66087825546143,16.691726833285635,1.0,Båda,4.0,Jesper Västerås,IPIS Konsument VVS,,
Elektriker,Ac El Krille & Mattias AB,+46709987424,krille@acelab.se,Tennvägen 10 371 50 Karlskrona,Karlskrona,,,1.0,1,1.0,1,1,,
Elektriker,Ac el Öst AB,,johan@acelost.se,Havregatan 27 603 72 Norrköping,Norrköping,,,1.0,1,1.0,1,1,,
Spol,Adolfsberg rör inspektion och spolning,,,Bondsättersvägen 108 702 30,Örebro,,,,1,,,,,
VVS,Agdor aktiebolag,+46706315379,info@agdor.se,Rodga Guldslottet 1 61691 ÅBY,ÅBY,"58,665752","16,181856",1.0,1,1.0,1,1,,
Elektriker,AH montage AB,+46734789900,ah.montage22@gmail.com,Lidnersgatan 9 754 42 Uppsala,Uppsala,,,1.0,1,1.0,1,1,,
Handyman,AHA Städ & Green,,,Västra Bangatan 39A 195 40,Märsta,,,,1,,,,,
Elektriker,Ahlin all-el ab,+46703336202,andreas@ahlin-el.se,Västerbyvägen 2 733 73 Ransta,Ransta,,,1.0,1,1.0,1,1,,
VVS,Ahléns VVS & Värmepumpsteknik AB,+46705556702,info@ahlensvvs.se,Hagagatan 25 716 31 Fjugesta,Fjugesta,"59,172638","14,871205",1.0,1,1.0,1,1,,
Elektriker,Alegos EL AB,,info@alegosel.se,Nydalavägen 16 152 51 Södertälje,Södertälje,,,1.0,1,1.0,1,1,,
Elektriker,Alerta Elektriker 24 AB,+46760084088,kontakt@alertaelektriker.se,Torekovsgatan 20 214 39 Malmö,Malmö,,,1.0,1,1.0,1,1,,
Handyman,Alexander Jensen,,,Widells väg 3 213 73,Malmö,,,,1,,,,,
Elektriker,Alexanders El & Energi AB,+46723883072,kontakt@enelex.se,Ödlegatan 2A 380 30 Rockneby,Rockneby,,,1.0,1,1.0,1,1,,
Handyman,Alkhateb & EL Konstrukta,,,Stenåldersvägen 3 302 63,Halmstad,,,,1,,,,,
